s,seq,par,speedUp,benchmark
128,0.000111993,0.000351723,0.318411,core=2
256,0.000220513,0.000178914,1.2325,core=2
512,0.00043964,0.000281965,1.5592,core=2
1024,0.000969002,0.000540767,1.7919,core=2
2048,0.00203355,0.00108199,1.87945,core=2
4096,0.00411251,0.00214673,1.91571,core=2
8192,0.00829128,0.00426205,1.94537,core=2
16384,0.0170738,0.00894418,1.90893,core=2
32768,0.0353066,0.0181914,1.94084,core=2
65536,0.0724945,0.0376658,1.92468,core=2
131072,0.146476,0.0739891,1.97969,core=2
262144,0.29534,0.147172,2.00677,core=2
524288,0.591578,0.293807,2.01349,core=2
1048576,1.16823,0.589591,1.98143,core=2
2097152,2.35228,1.17889,1.99533,core=2
4194304,4.71955,2.36864,1.9925,core=2
8388608,9.40583,4.73151,1.98791,core=2
16777216,18.9894,9.47346,2.00448,core=2
33554432,37.9147,18.9379,2.00205,core=2
128,0.000112595,0.000233186,0.482853,core=16
256,0.000222925,0.000240949,0.925196,core=16
512,0.000446072,0.000157599,2.83042,core=16
1024,0.000954997,0.000105829,9.02396,core=16
2048,0.00203545,0.000197306,10.3162,core=16
4096,0.00409972,0.000388807,10.5444,core=16
8192,0.00827185,0.00068657,12.0481,core=16
16384,0.0172469,0.00133501,12.919,core=16
32768,0.0351902,0.00278373,12.6414,core=16
65536,0.0726593,0.00505219,14.3817,core=16
131072,0.145149,0.0102856,14.1119,core=16
262144,0.296916,0.0199148,14.909,core=16
524288,0.591419,0.0392345,15.0739,core=16
1048576,1.18194,0.0768491,15.3801,core=16
2097152,2.37691,0.152717,15.5641,core=16
4194304,4.75589,0.301579,15.77,core=16
8388608,9.44065,0.605139,15.6008,core=16
16777216,18.917,1.2131,15.594,core=16
33554432,38.118,2.43667,15.6435,core=16
128,0.000112278,0.000445773,0.251873,core=32
256,0.000221586,0.000449045,0.49346,core=32
512,0.000436755,0.000344113,1.26922,core=32
1024,0.000966216,8.77731e-05,11.0081,core=32
2048,0.00206758,0.000129446,15.9724,core=32
4096,0.00415791,0.000221636,18.7601,core=32
8192,0.00837787,0.000363276,23.062,core=32
16384,0.0173295,0.000767471,22.58,core=32
32768,0.035359,0.00272643,24.969,core=32
65536,0.0731974,0.00281313,26.0199,core=32
131072,0.145629,0.0055891,26.0559,core=32
262144,0.298442,0.0114328,26.104,core=32
524288,0.59223,0.0221389,26.7506,core=32
1048576,1.17857,0.0402285,29.297,core=32
2097152,2.39146,0.0762202,31.3757,core=32
4194304,4.772,0.152773,31.2359,core=32
8388608,9.43163,0.297654,31.6866,core=32
16777216,19.1232,0.590388,32.3909,core=32
33554432,38.3262,1.18107,32.4506,core=32
128,0.000116113,0.000761682,0.152443,core=48
256,0.000222204,0.000724005,0.30691,core=48
512,0.000436851,0.000596466,0.732399,core=48
1024,0.000959472,0.000100747,9.52354,core=48
2048,0.00204032,0.00011904,17.1398,core=48
4096,0.00413274,0.000179754,22.9911,core=48
8192,0.00837518,0.00029332,28.5531,core=48
16384,0.0170375,0.00055816,30.5245,core=48
32768,0.0352941,0.0011507,30.6718,core=48
65536,0.0726303,0.00227445,31.9331,core=48
131072,0.146028,0.0045744,31.9228,core=48
262144,0.294636,0.00827096,35.6229,core=48
524288,0.593992,0.0147561,40.254,core=48
1048576,1.17171,0.0279168,41.9713,core=48
2097152,2.38096,0.0592866,40.1601,core=48
4194304,4.75748,0.113073,42.0742,core=48
8388608,9.41684,0.22721,41.4455,core=48
16777216,19.0125,0.446887,42.5444,core=48
33554432,38.1412,0.894399,42.6445,core=48
128,0.000112294,0.000120323,0.933271,acc
256,0.000221825,0.000211694,1.94785,acc
512,0.000437894,0.000279138,2.6874,acc
1024,0.000964971,0.000342027,11.82133,acc
2048,0.00202736,0.000146348,18.853,acc
4096,0.0041854,0.000176917,23.6574,acc
8192,0.00830051,0.000273097,30.3941,acc
16384,0.017055,0.000535223,31.8652,acc
32768,0.0348816,0.00102049,34.1813,acc
65536,0.0724012,0.00199813,36.2345,acc
131072,0.146149,0.00401951,36.3599,acc
262144,0.294035,0.00761086,38.6336,acc
524288,0.591018,0.0139295,42.4292,acc
1048576,1.17715,0.0280839,41.9155,acc
2097152,2.35265,0.0549435,42.8195,acc
4194304,4.73571,0.110284,42.941,acc
8388608,9.3196,0.220872,42.1945,acc
16777216,18.9052,0.442764,42.6982,acc
33554432,37.3849,0.885491,42.7194,acc
s,seq,par,speedUp
128,0.000111659,0.00012239,0.912319
256,0.00022317,0.000209328,1.06613
512,0.000439084,0.000284938,1.54098
1024,0.000965581,0.000330679,2.92
2048,0.00200688,0.000143165,14.018
4096,0.00411013,0.000172517,23.8245
8192,0.00829061,0.000281618,29.4392
16384,0.0172088,0.000526088,32.7108
32768,0.0349896,0.00101536,34.4604
65536,0.072495,0.00200127,36.2245
131072,0.145293,0.00401932,36.1487
262144,0.295381,0.00738771,39.9827
524288,0.591464,0.0138795,42.6142
1048576,1.17016,0.0311342,37.5844
2097152,2.36969,0.0550122,43.0757
4194304,4.72523,0.110416,42.7947
8388608,9.39785,0.224153,41.926
16777216,18.8987,0.442268,42.7312
33554432,37.7876,0.886111,42.6443
