s,seq,par,speedUp,benchmark
128,1.042e-07,3.3e-08,3.15758,core=2
256,1.803e-07,3.3e-08,5.46364,core=2
512,3.247e-07,3.2e-08,10.1469,core=2
1024,6.151e-07,3.2e-08,19.2219,core=2
2048,1.1942e-06,3.31e-08,36.0785,core=2
4096,2.9335e-06,4.11e-08,71.3747,core=2
8192,4.9123e-06,3.11e-08,157.952,core=2
16384,9.6864e-06,3.3e-08,293.527,core=2
32768,1.96842e-05,3.21e-08,613.215,core=2
65536,3.84626e-05,3.2e-08,1201.96,core=2
131072,7.73057e-05,3.3e-08,2342.6,core=2
262144,0.000158635,3.1e-08,5117.27,core=2
524288,0.000312895,3.41e-08,9175.82,core=2
1048576,0.000627345,3.3e-08,19010.4,core=2
2097152,0.00128508,3.42e-08,37575.,core=2
4194304,0.00264783,5.02e-08,52745.7,core=2
8388608,0.00530134,3.51e-08,151035,core=2
16777216,0.0104948,3.3e-08,318024,core=2
33554432,0.0211972,3.3e-08,642340,core=2
128,1.002e-07,3.3e-08,3.03636,acc
256,1.805e-07,3.1e-08,5.82258,acc
512,3.164e-07,3.1e-08,10.2065,acc
1024,6.161e-07,3.31e-08,18.6133,acc
2048,1.2042e-06,3.2e-08,37.6313,acc
4096,2.3734e-06,3.3e-08,71.9212,acc
8192,5.5885e-06,3.3e-08,169.348,acc
16384,9.7352e-06,3.21e-08,303.277,acc
32768,1.94175e-05,3.4e-08,571.103,acc
65536,3.87777e-05,3.21e-08,1208.03,acc
131072,7.83504e-05,3.21e-08,2440.82,acc
262144,0.000155183,3.2e-08,4849.46,acc
524288,0.000311748,3.2e-08,9742.13,acc
1048576,0.000621872,3.31e-08,18787.7,acc
2097152,0.00133549,3.23e-08,41346.6,acc
4194304,0.00279454,3.2e-08,87329.4,acc
8388608,0.00545385,3.5e-08,155824,acc
16777216,0.0105967,3.4e-08,311666,acc
33554432,0.0215941,3.2e-08,674816,acc
