
s,seq,par,speedUp,benchmark
8192,4.9123e-06,3.79833e-05,0.129328,core=2
16384,9.7267e-06,5.53901e-05,0.175604,core=2
32768,1.92602e-05,5.06062e-05,0.38059,core=2
65536,3.97958e-05,4.93129e-05,0.807006,core=2
131072,7.74156e-05,7.4517e-05,1.0389,core=2
262144,0.000156895,0.000112751,1.39152,core=2
524288,0.000315372,0.000169338,1.86238,core=2
1048576,0.000638,0.000323004,1.9752,core=2
2097152,0.00138283,0.000596528,2.31814,core=2
4194304,0.00291828,0.00170453,1.71207,core=2
8388608,0.00586161,0.00331606,1.76765,core=2
16777216,0.0106989,0.00582201,1.83766,core=2
33554432,0.0211406,0.0140327,1.50653,core=2
67108864,0.0681152,0.0245913,2.76989,core=2
134217728,0.178922,0.0462678,3.8671,core=2
268435456,0.318587,0.10467,3.04373,core=2
8192,4.9003e-06,0.00023989,0.0204273,core=16
16384,1.03666e-05,0.000233716,0.0443556,core=16
32768,1.91962e-05,0.000262069,0.0732487,core=16
65536,3.83812e-05,0.000236806,0.162079,core=16
131072,7.73976e-05,0.000142113,0.544619,core=16
262144,0.000161688,9.32304e-05,1.73428,core=16
524288,0.000313992,0.000118872,2.64144,core=16
1048576,0.000630605,0.000236097,2.6709,core=16
2097152,0.00155029,0.000463097,3.34766,core=16
4194304,0.00266222,0.000967058,2.75291,core=16
8388608,0.00584933,0.00128781,4.54209,core=16
16777216,0.0103899,0.00279387,3.71883,core=16
33554432,0.0207225,0.00479658,4.32026,core=16
67108864,0.0852889,0.00699566,12.1917,core=16
134217728,0.165537,0.0184482,8.97305,core=16
268435456,0.29932,0.0283113,10.5725,core=16
8192,4.8822e-06,0.0004972,0.00981939,core=32
16384,9.732e-06,0.000478891,0.0203219,core=32
32768,1.92532e-05,0.00045612,0.0422108,core=32
65536,3.84342e-05,0.0004875,0.0788394,core=32
131072,7.9149e-05,0.000502986,0.157358,core=32
262144,0.000160058,0.000462577,0.346014,core=32
524288,0.000316221,0.000167131,1.89206,core=32
1048576,0.000627859,0.000251224,2.4992,core=32
2097152,0.00151283,0.000416321,3.63382,core=32
4194304,0.00319859,0.000952587,3.35779,core=32
8388608,0.00639861,0.00149531,4.27911,core=32
16777216,0.0112656,0.00228204,4.93662,core=32
33554432,0.0206418,0.00387265,5.33014,core=32
67108864,0.0436404,0.00569097,7.66836,core=32
134217728,0.139919,0.0147124,9.51026,core=32
268435456,0.275446,0.0220071,12.5162,core=32
8192,4.8943e-06,0.000633901,0.00772092,core=48
16384,9.7185e-06,0.000657454,0.014782,core=48
32768,1.92703e-05,0.000693652,0.0277809,core=48
65536,3.96714e-05,0.000715786,0.0554236,core=48
131072,7.73545e-05,0.000679082,0.11391,core=48
262144,0.000154675,0.000667064,0.231874,core=48
524288,0.000315826,0.000255618,1.23554,core=48
1048576,0.00063799,0.000271338,2.35127,core=48
2097152,0.00138821,0.000543499,2.55421,core=48
4194304,0.00281529,0.00100136,2.81146,core=48
8388608,0.00595691,0.00157872,3.77326,core=48
16777216,0.0113005,0.00178212,6.34107,core=48
33554432,0.0216871,0.00315592,6.87189,core=48
67108864,0.0438191,0.00602991,7.26695,core=48
134217728,0.0985266,0.0125178,7.87093,core=48
268435456,0.262874,0.0244609,10.7467,core=48
8192,4.8488e-06,2.9724e-05,0.203127,acc
16384,1.03218e-05,4.15844e-05,0.318213,acc
32768,2.05788e-05,4.77478e-05,0.480989,acc
65536,3.84193e-05,5.40707e-05,0.710538,acc
131072,7.77025e-05,9.76778e-05,1.295498,acc
262144,0.000161577,0.00019553,1.826356,acc
524288,0.000321007,0.000233005,1.97768,acc
1048576,0.000629112,0.00044176,1.9241,acc

ls


2097152,0.00130646,0.00045659,3.86134,acc
4194304,0.00279855,0.00104082,3.88879,acc
8388608,0.0054361,0.00124835,4.35462,acc
16777216,0.0117442,0.0018395,6.38443,acc
33554432,0.0210933,0.00330138,6.38925,acc
67108864,0.0889593,0.00462774,10.223,acc
134217728,0.156875,0.01257,13.4802,acc
268435456,0.279349,0.0217829,13.8243,acc

