s,seq,par,speedUp,benchmark
128,1.042e-07,3.3e-08,3.15758,core=2
256,1.803e-07,3.3e-08,5.46364,core=2
512,3.247e-07,3.2e-08,10.1469,core=2
1024,6.151e-07,3.2e-08,19.2219,core=2
2048,1.1942e-06,3.31e-08,36.0785,core=2
4096,2.9335e-06,4.11e-08,71.3747,core=2
8192,4.9123e-06,3.11e-08,157.952,core=2
16384,9.6864e-06,3.3e-08,293.527,core=2
32768,1.96842e-05,3.21e-08,613.215,core=2
65536,3.84626e-05,3.2e-08,1201.96,core=2
131072,7.73057e-05,3.3e-08,2342.6,core=2
262144,0.000158635,3.1e-08,5117.27,core=2
524288,0.000312895,3.41e-08,9175.82,core=2
1048576,0.000627345,3.3e-08,19010.4,core=2
2097152,0.00128508,3.42e-08,37575.,core=2
4194304,0.00264783,5.02e-08,52745.7,core=2
8388608,0.00530134,3.51e-08,151035,core=2
16777216,0.0104948,3.3e-08,318024,core=2
33554432,0.0211972,3.3e-08,642340,core=2
128,1.061e-07,3.31e-08,3.20544,core=16
256,1.764e-07,3.11e-08,5.67203,core=16
512,3.308e-07,3.51e-08,9.4245,core=16
1024,6.222e-07,3.31e-08,18.7976,core=16
2048,1.2032e-06,3.3e-08,36.4606,core=16
4096,2.3814e-06,3.31e-08,71.9456,core=16
8192,4.9042e-06,3.21e-08,152.779,core=16
16384,9.7261e-06,3.31e-08,293.84,core=16
32768,1.94064e-05,3.2e-08,606.4,core=16
65536,3.87638e-05,3.21e-08,1207.6,core=16
131072,7.87452e-05,3.3e-08,2386.22,core=16
262144,0.000155783,3.21e-08,4853.05,core=16
524288,0.00031135,3.3e-08,9434.86,core=16
1048576,0.000624703,3.31e-08,18873.2,core=16
2097152,0.00131323,3.1e-08,42362.2,core=16
4194304,0.00276612,3.42e-08,80880.7,core=16
8388608,0.00540717,3.32e-08,162867,core=16
16777216,0.010745,3.31e-08,324621,core=16
33554432,0.0215433,3.3e-08,652828,core=16
128,9.92e-08,3.21e-08,3.09034,core=32
256,1.793e-07,3.2e-08,5.60312,core=32
512,3.227e-07,3.21e-08,10.053,core=32
1024,6.162e-07,3.1e-08,19.8774,core=32
2048,1.1763e-06,3.3e-08,35.6455,core=32
4096,2.3744e-06,3.21e-08,73.9688,core=32
8192,4.9371e-06,3e-08,164.57,core=32
16384,9.7507e-06,3.2e-08,304.709,core=32
32768,2.03442e-05,3.3e-08,616.491,core=32
65536,3.929e-05,3.2e-08,1227.8,core=32
131072,8.23179e-05,3.3e-08,2494.48,core=32
262144,0.000159918,3.3e-08,4845.99,core=32
524288,0.000310725,3.31e-08,9387.46,core=32
1048576,0.000627082,3.3e-08,19002.,core=32
2097152,0.00127956,3.3e-08,38774.6,core=32
4194304,0.00266828,3.1e-08,86073.5,core=32
8388608,0.0052306,3.93e-08,13309,core=32
16777216,0.0105135,3.31e-08,317627,core=32
33554432,0.0211772,1.112e-07,190443,core=32
128,1.002e-07,3.3e-08,3.03636,acc
256,1.805e-07,3.1e-08,5.82258,acc
512,3.164e-07,3.1e-08,10.2065,acc
1024,6.161e-07,3.31e-08,18.6133,acc
2048,1.2042e-06,3.2e-08,37.6313,acc
4096,2.3734e-06,3.3e-08,71.9212,acc
8192,5.5885e-06,3.3e-08,169.348,acc
16384,9.7352e-06,3.21e-08,303.277,acc
32768,1.94175e-05,3.4e-08,571.103,acc
65536,3.87777e-05,3.21e-08,1208.03,acc
131072,7.83504e-05,3.21e-08,2440.82,acc
262144,0.000155183,3.2e-08,4849.46,acc
524288,0.000311748,3.2e-08,9742.13,acc
1048576,0.000621872,3.31e-08,18787.7,acc
2097152,0.00133549,3.23e-08,41346.6,acc
4194304,0.00279454,3.2e-08,87329.4,acc
8388608,0.00545385,3.5e-08,155824,acc
16777216,0.0105967,3.4e-08,311666,acc
33554432,0.0215941,3.2e-08,674816,acc
